trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'e': 0.6636502501363194, 'a': 0.3}",30,0,-129.09015785317382,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
43,False,"{'e': 0.6570468198150567, 'a': 0.3}",30,0,-153.20435141931512,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
44,False,"{'e': 0.6505090947233165, 'a': 0.3}",30,0,-42.968169192642364,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",1
45,False,"{'e': 0.6440364210831414, 'a': 0.3}",30,0,-80.14347175250083,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
46,False,"{'e': 0.6376281516217733, 'a': 0.3}",20,4,-149.33658051381929,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 4}",1
47,False,"{'e': 0.631283645506926, 'a': 0.3}",30,3,7.830902441026118,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 0}",1
48,False,"{'e': 0.6250022682827008, 'a': 0.3}",25,0,-63.03778247930864,"{0: 16, 1: 5, 2: 2, 3: 2, 4: 0}",0
49,False,"{'e': 0.6187833918061408, 'a': 0.3}",30,0,-175.45810762718432,"{0: 18, 1: 3, 2: 4, 3: 3, 4: 2}",0
50,False,"{'e': 0.6126263941844161, 'a': 0.3}",25,10,-61.194642389746704,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
51,False,"{'e': 0.6065306597126334, 'a': 0.3}",20,8,-5.646869900044836,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
52,False,"{'e': 0.6004955788122659, 'a': 0.3}",25,0,-30.921824540454516,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
53,False,"{'e': 0.5945205479701944, 'a': 0.3}",25,10,-99.33405459846178,"{0: 8, 1: 4, 2: 1, 3: 0, 4: 2}",1
54,False,"{'e': 0.5886049696783552, 'a': 0.3}",30,13,-34.910660789024135,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
55,False,"{'e': 0.5827482523739896, 'a': 0.3}",25,0,-141.27286078866135,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
56,False,"{'e': 0.5769498103804866, 'a': 0.3}",25,9,18.6294845799096,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'e': 0.5712090638488149, 'a': 0.3}",20,0,-110.4331462728164,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
58,False,"{'e': 0.5655254386995371, 'a': 0.3}",30,0,-16.74078620822828,"{0: 24, 1: 4, 2: 2, 3: 0, 4: 0}",0
59,False,"{'e': 0.559898366565402, 'a': 0.3}",20,10,-34.00389165159019,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
60,False,"{'e': 0.5543272847345071, 'a': 0.3}",25,4,26.040105811276387,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'e': 0.5488116360940265, 'a': 0.3}",20,13,-40.72527423422665,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
62,False,"{'e': 0.5433508690744998, 'a': 0.3}",30,15,10.097109686263465,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
63,False,"{'e': 0.5379444375946745, 'a': 0.3}",30,6,-69.19691477921255,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 1}",1
64,False,"{'e': 0.5325918010068972, 'a': 0.3}",20,7,-49.54989294225318,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
65,False,"{'e': 0.5272924240430485, 'a': 0.3}",20,16,9.165330905371778,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'e': 0.522045776761016, 'a': 0.3}",20,0,-90.75393541440808,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
67,False,"{'e': 0.5168513344916992, 'a': 0.3}",20,0,23.53770756193416,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
68,False,"{'e': 0.5117085777865424, 'a': 0.3}",30,7,-38.69619859359635,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 1}",1
69,False,"{'e': 0.5066169923655895, 'a': 0.3}",20,8,-10.777715531430026,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
70,False,"{'e': 0.5015760690660555, 'a': 0.3}",20,0,-39.2067473313996,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
71,False,"{'e': 0.49658530379140947, 'a': 0.3}",25,13,4.243288724812621,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
72,False,"{'e': 0.4916441974609651, 'a': 0.3}",20,11,-27.998098777615642,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
